Document ID,Citation,Source
1,"jet initial. Toutes ces assurances, sur la méthode et sur le fond des 《 avancées 》 acceptées, visent à convaincre que les volets « justice » et « progrè",Le Monde
1,"s » de la copie gouvernementale sont aussi importants que le volet 《 équilibre 》. Dans l'espoir, évidemment, de conjurer une contestation trop brutale",Marcel Gauchet
1,"u. Car si les forces syndicales et politiques savent gérer un conflit 《 classique 》 , indexé sur le nombre de manifestants et le nombre de jours de grève",This citation is from a person.
1,nflictualité non encadrée. Le gouvernement redoute un mouvement style 《 gilets jaunes 》 déclenché par une question de pouvoir d'achat ; les syndicats ont la,Le Monde
2,"présentation de la réforme, a repris presque toutes leurs conditions. 《Il y a des points positifs dans les annonces du gouvernement, conformément à ce que nous avions demandé》, reconnaît le président de LR, Éric Ciotti, en évoquant le «rythme at",Éric Ciotti
2,"ténué de la réforme» par rapport au projet initial, 《la revalorisation des petites retraites et la prise en compte des congés parentaux》. La droite s’est aussi satisfaite de l’engagement d’Élisabeth Borne q",Élisabeth Borne
2,"ue 《l’argent des retraites financera les retraites》, comme le souligne la vice-présidente de la commission des finances,",La Tribune
2,"Véronique Louwagie. 《Globalement, ils reprennent le projet du Sénat voté depuis quatre ans et cela est plutôt positif》, se satisfait Gérard Larcher, président du Sénat. «En revanche, ils v",Gérard Larcher
2,"comme le sera le sujet des petites retraites.» Une ligne rouge à LR. 《Deux garanties pour lesquelles nous nous sommes battus ne sont pas à ce stade clairement assurées》, explique Aurélien Pradié, député LR du Lot. «La première, c’est l’as",Aurélien Pradié
2,t ceux qui ont travaillé toute leur vie.» Élisabeth Borne annonce une 《augmentation》de ces pensions. «Le niveau de 85 % du smic est une ligne rouge. En de,Élisabeth Borne
2,"hauteur», poursuit-il en demandant une clarification du gouvernement. 《La seconde, c’est d’assurer que ceux qui ont commencé à travailler avant 21 ans puissent partir avec 42 puis demain 43 annuités de cotisation》, détaille l’ex-candidat à la présidence du parti. «Pour ces travaille",La source de la citation est une personne.
2,"e cotisation acquise doit primer sur l’âge légal.» Dès lors, pour LR, 《à cette heure, le compte n’y est pas》 encore, fait valoir Éric Ciotti. «Je serai très attentif à la questio",Éric Ciotti
2,"laisse de la place au débat parlementaire», acquiesce Gérard Larcher. 《Ces sujets sont très techniques et le diable se niche souvent dans les détails, conclut Olivier Marleix. Nous vérifierons chaque point de manière précise mais nous actons le fait que le gouvernement fait l’effort de venir sur nos propositions.》 Refus de la gauche «C’est une grave récession sociale», a dénoncé Jea",Gérard Larcher
2,"Après ces annonces, la coalition de la Nupes s’est dite prête à mener 《le combat》 contre la réforme. Un tout premier meeting unitaire avait d’ailleurs",Le Monde
2,"lieu mardi soir à Paris. 《Madame Borne n’a honte de rien》, a répliqué sur Twitter Mathilde Panot, la présidente du groupe LFI.",Mathilde Panot
2,"《Un projet “de justice, d’équilibre et de progrès”? Euh… non. Un projet pour faire des économies, archaïque, injuste, brutal, cruel? Oui》, a rectifié l’Insoumise. «La guerre sociale est déclarée», a égalemen",L'Insoumise
2,"le, voulu ironiser, faisant le lien avec le réchauffement climatique: 《L’inaction climatique de nos dirigeants est tellement grave qu’on dirait que c’est fait exprès pour être sûr de ne pas nous faire bénéficier de retraites, à nous, les moins de 35 ans.》«La première ministre prétend que sa réforme des retraites est un proj","""le, voulu ironiser, faisant le lien avec le réchauffement climatique: \u300aL\u2019inaction climatique de nos dirigeants est tellement grave qu\u2019on dirait que c\u2019est fait exprès pour être sûr de ne pas nous faire bénéficier de retraites, à nous, les moins de 35 ans.\u300b"""
2,"l’hémicycle, elle a interpellé la première ministre, Élisabeth Borne. 《Pensez-vous sincèrement qu’il est bon pour le pays de proposer une réforme des retraites en vue de décaler l’âge de départ, à laquelle 70 % des Français sont opposés, en leur faisant payer les échecs de vos politiques?》, a questionné Marine Le Pen. Jordan Bardella, lui aussi, a rappelé sa",Marine Le Pen
2,"pour le RN d’envisager de se joindre à une quelconque manifestation. 《Cela n’est pas et n’a jamais été notre ADN》, confirme une députée. «Il n’y a pas que la rue, il y a aussi le trav",La citation provient du journal Le Figaro.
3,"e, à la fois par impératif économique et par nécessité démographique. 《 Sans réforme c'est la faillite 》 , résume, lapidaire, Gabriel Attal, le ministre des Comptes publics.",Gabriel Attal
