Document ID,Citation,Source
1,《 avancées 》,Le Monde
1,《 justice 》,Person
1,《 progrès 》,Le Monde
1,《 équilibre 》,This citation is from a person.
1,《 classique 》,Classique
1,《 gilets jaunes 》,Le Monde
2,"hauteur», poursuit-il en demandant une clarification du gouvernement. «La seconde, c’est d’assurer que ceux qui ont commencé à travailler avant《Il y a des points positifs dans les annonces du gouvernement, conformément à ce que nous avions demandé》le compte n’y est pas» encore, fait valoir Éric Ciotti. «Je serai très attentif à la question de l’emploi des",Éric Ciotti
2,"sociale», a dénoncé Jean-Luc Mélenchon. Après ces annonces, la coalition de la Nupes s’est dite prête à mener «le combat»《rythme atténué de la réforme》faire des économies, archaïque, injuste, brutal, cruel? Oui», a rectifié l’Insoumise. «La guerre sociale est déclarée», a également jugé le",Jean-Luc Mélenchon
2,"Un projet pour faire des économies, archaïque, injuste, brutal, cruel? Oui», a rectifié l’Insoumise. «La guerre sociale est déclarée», a《la revalorisation des petites retraites et la prise en compte des congés parentaux》moins de 35 ans.»«La première ministre prétend que sa réforme des retraites est un projet de justice sociale. Mais elle",La source de la citation est « l'Insoumise ».
2,"l’hémicycle, elle a interpellé la première ministre, Élisabeth Borne. «Pensez-vous sincèrement qu’il est bon pour le pays de proposer une《l’argent des retraites financera les retraites》le premier opposant à cette réforme. Le combat du parti à la flamme, pour autant, se concentrera au Palais Bourbon.",Élisabeth Borne
2,"《Globalement, ils reprennent le projet du Sénat voté depuis quatre ans et cela est plutôt positif》",Sénat
2,"《En revanche, ils vont plus vite sur l’accélération des 43 annuités et les 64 ans même s’ils retiennent le rythme que nous avions proposé de 3 mois par an. Cette accélération sera un point de discussion, comme le sera le sujet des petites retraites.》",Emmanuel Macron
2,《Deux garanties pour lesquelles nous nous sommes battus ne sont pas à ce stade clairement assurées》,Emmanuel Macron
2,"《La première, c’est l’assurance de relever à 85 % du smic les retraites actuelles et pas seulement les nouvelles pour celles et ceux qui ont travaillé toute leur vie.》",Emmanuel Macron
2,《augmentation》,This citation is from a person.
2,"《Le niveau de 85 % du smic est une ligne rouge. En deçà, l’effort ne sera pas à la hauteur》",Le Monde
2,"《La seconde, c’est d’assurer que ceux qui ont commencé à travailler avant 21 ans puissent partir avec 42 puis demain 43 annuités de cotisation》",Laurent Berger
2,"《Pour ces travailleurs qui ont débuté tôt, nous devons leur assurer de ne pas avoir besoin d’aller jusqu’à l’âge légal. Pour eux, la durée de cotisation acquise doit primer sur l’âge légal.》",This citation is from a person.
2,"《à cette heure, le compte n’y est pas》",Victor Hugo
2,《Je serai très attentif à la question de l’emploi des seniors et des carrières hachées pour les femmes. Tout cela laisse de la place au débat parlementaire》,Emmanuel Macron
2,"《Ces sujets sont très techniques et le diable se niche souvent dans les détails, conclut Olivier Marleix. Nous vérifierons chaque point de manière précise mais nous actons le fait que le gouvernement fait l’effort de venir sur nos propositions.》",Olivier Marleix
2,《C’est une grave récession sociale》,Le Monde
2,《le combat》,Victor Hugo
2,《Madame Borne n’a honte de rien》,Gustave Flaubert
2,"《Un projet “de justice, d’équilibre et de progrès”? Euh… non. Un projet pour faire des économies, archaïque, injuste, brutal, cruel? Oui》",Le Monde
2,《La guerre sociale est déclarée》,Laurent Obertone
2,"《L’inaction climatique de nos dirigeants est tellement grave qu’on dirait que c’est fait exprès pour être sûr de ne pas nous faire bénéficier de retraites, à nous, les moins de 35 ans.》",Greta Thunberg
2,《La première ministre prétend que sa réforme des retraites est un projet de justice sociale. Mais elle va accélérer dangereusement les inégalités!》,La Croix
2,"《Pensez-vous sincèrement qu’il est bon pour le pays de proposer une réforme des retraites en vue de décaler l’âge de départ, à laquelle 70 % des Français sont opposés, en leur faisant payer les échecs de vos politiques?》",Le Figaro
2,《Cela n’est pas et n’a jamais été notre ADN》,Laurent Blanc
2,"《Il n’y a pas que la rue, il y a aussi le travail médiatique》",Marie-Hélène Bacqué
3,"dette encore accrue aux générations futures. Ne rien faire empêchera de payer des pensions décentes aux futurs retraités et sapera《 Sans réforme c'est la faillite 》système par répartition doit donc, par définition, être financièrement à l'équilibre. Cette réforme est aussi une exigence sociale : la",Sans r\u00e9forme c'est la faillite
3,《 La réforme des retraites est essentielle 》,La Croix
3,《 absolument indispensable 》,No response.
3,《 le régime est structurellement en déficit. L'État verse une compensation de 30 milliards d'euros pour équilibrer les régimes de retraites des fonctionnaires qui sont systématiquement sous dotées. L'État cotise pour les retraites des fonctionnaires à hauteur de 74 %. 》,Assemblée nationale
3,《 Cette réforme est un signal fort donné à nos partenaires européens 》,French President Emmanuel Macron
3,《 triangle infernal 》,Pierre Boileau and Thomas Narcejac
3,《 triangle infernal 》,Noam Chomsky
3,"《 Si nous étions à la moyenne des pays européenne, nous économiserions 50 milliards d'euros par an sur les dépenses de retraite , affirme Élie Cohen. Au final, les 2 points de PIB que nous dépensons en plus sur les retraites, expliquent pourquoi la dépense publique est plus importante en France que dans les autres pays européens . 》",Élie Cohen
