Document ID,Citation,Context,Source
1,« avancées »,"janvier n'est pas la simple transposition du projet initial. Toutes ces assurances, sur la méthode et sur le fond des « avancées » acceptées, visent à convaincre que les volets « justice » et « progrès » de la copie gouvernementale sont aussi",Le Monde
1,« justice »,"ces assurances, sur la méthode et sur le fond des « avancées » acceptées, visent à convaincre que les volets « justice » et « progrès » de la copie gouvernementale sont aussi importants que le volet « équilibre ». Dans l'espoir, évidemment,",Gouvernement.
1,« progrès »,"méthode et sur le fond des « avancées » acceptées, visent à convaincre que les volets « justice » et « progrès » de la copie gouvernementale sont aussi importants que le volet « équilibre ». Dans l'espoir, évidemment, de conjurer une contestation",progrès
1,« équilibre »,"que les volets « justice » et « progrès » de la copie gouvernementale sont aussi importants que le volet « équilibre ». Dans l'espoir, évidemment, de conjurer une contestation trop brutale et toute explosion qui aurait raison de la réforme 2023, comme",Gouvernement Castex
1,« classique »,"la réforme 2019. Mais c'est ici que commence l'inconnu. Car si les forces syndicales et politiques savent gérer un conflit « classique » , indexé sur le nombre de manifestants et le nombre de jours de grèves, personne ne sait appréhender une conflictualité",classique
1,« gilets jaunes »,"le nombre de jours de grèves, personne ne sait appréhender une conflictualité non encadrée. Le gouvernement redoute un mouvement style « gilets jaunes » déclenché par une question de pouvoir d'achat ; les syndicats ont la hantise d'une grève style contrôleurs SNCF avant Noël.","""Gilets jaunes"""
2,"«Il y a des points positifs dans les annonces du gouvernement, conformément à ce que nous avions demandé»","Élisabeth Borne, qui les a cités deux fois pendant sa présentation de la réforme, a repris presque toutes leurs conditions. «Il y a des points positifs dans les annonces du gouvernement, conformément à ce que nous avions demandé», reconnaît le président de LR, Éric Ciotti, en évoquant le «rythme atténué de la réforme» par rapport au projet initial,",Éric Ciotti
2,«rythme atténué de la réforme»,"annonces du gouvernement, conformément à ce que nous avions demandé», reconnaît le président de LR, Éric Ciotti, en évoquant le «rythme atténué de la réforme» par rapport au projet initial, «la revalorisation des petites retraites et la prise en compte des congés parentaux». La droite",Éric Ciotti
2,«la revalorisation des petites retraites et la prise en compte des congés parentaux»,"reconnaît le président de LR, Éric Ciotti, en évoquant le «rythme atténué de la réforme» par rapport au projet initial, «la revalorisation des petites retraites et la prise en compte des congés parentaux». La droite s’est aussi satisfaite de l’engagement d’Élisabeth Borne que «l’argent des retraites financera les retraites», comme le souligne la",Éric Ciotti
2,«l’argent des retraites financera les retraites»,"petites retraites et la prise en compte des congés parentaux». La droite s’est aussi satisfaite de l’engagement d’Élisabeth Borne que «l’argent des retraites financera les retraites», comme le souligne la vice-présidente de la commission des finances, Véronique Louwagie. «Globalement, ils reprennent le projet du Sénat voté",Élisabeth Borne
2,"«Globalement, ils reprennent le projet du Sénat voté depuis quatre ans et cela est plutôt positif»","Borne que «l’argent des retraites financera les retraites», comme le souligne la vice-présidente de la commission des finances, Véronique Louwagie. «Globalement, ils reprennent le projet du Sénat voté depuis quatre ans et cela est plutôt positif», se satisfait Gérard Larcher, président du Sénat. «En revanche, ils vont plus vite sur l’accélération des 43 annuités et les",Gérard Larcher
