Index,Texte précédent,Mot,Texte suivant
1,. La conscience de la menace est la première condition de l' acceptabilité de la réforme . La chef du,gouvernement,"n' a pas cherché non plus à minimiser ce que ce passage , progressif , aux 64 ans avait d'"
2,"parentaux , de l' extension du minimum contributif à tous les retraités au nouveau dispositif sur la pénibilité , le",gouvernement,veut convaincre que la copie présentée en Conseil des ministres le 23 janvier n' est pas la simple transposition du
3,"de manifestants et le nombre de jours de grèves , personne ne sait appréhender une conflictualité non encadrée . Le",gouvernement,redoute un mouvement style « gilets jaunes » déclenché par une question de pouvoir d' achat ; les syndicats ont
4,"réforme , a repris presque toutes leurs conditions . « Il y a des points positifs dans les annonces du",gouvernement,", conformément à ce que nous avions demandé » , reconnaît le président de LR , Éric Ciotti , en"
5,"En deçà , l’ effort ne sera pas à la hauteur » , poursuit -il en demandant une clarification du",gouvernement,". « La seconde , c’ est d’ assurer que ceux qui ont commencé à travailler avant 21 ans puissent"
6,"détails , conclut Olivier Marleix . Nous vérifierons chaque point de manière précise mais nous actons le fait que le",gouvernement,fait l’ effort de venir sur nos propositions . » Refus de la gauche « C’ est une grave récession
7,"du PIB selon les scénarios , soit entre 665 et 903 milliards d' euros , d' après un document du",gouvernement,basé sur les chiffres du Conseil d' orientation des retraites ( COR ) . Ne pas réformer reviendrait à laisser
8,"sera de moins de 1,5 cotisant pour 1 retraité à l' horizon 2040 . Pour rétablir la trajectoire , le",gouvernement,"ne peut agir que sur trois leviers : relever l' âge , augmenter les cotisations ou baisser les pensions ."
9,"exception en Europe : la coalition SPD - Verts l' a porté à 67 ans en Allemagne , et le",gouvernement,"socialiste à 65 ans en Espagne . « Si nous étions à la moyenne des pays européenne , nous économiserions"
10,", de la CVAE pour les entreprises , de la TVA . » Autant de recettes nouvelles qui donneront au",gouvernement,des marges de manoeuvre pour financer d' autres chantiers .
11,"4 ) . Une première journée de mobilisation est prévue le 19 janvier . Pour autant , le projet du",gouvernement,"est « meilleur qu' il ne l' était il y a six mois » , a salué Élisabeth Borne ."
12,"gauche sont vent debout contre le décalage de l' âge légal de départ à la retraite , la chef du",gouvernement,a évoqué « un projet de justice porteur de progrès social » à travers des mesures pour les carrières longues
13,"se faire sans désinformation , sans agiter les peurs » , a d' ores et déjà avancé la chef du",gouvernement,", qui sait que la bataille de l' opinion sera plus difficile que la confrontation au Parlement . Anticiper les"
14,"du Budget , Gabriel Attal , devrait lui aussi se déployer ces prochains jours . Tandis que le porte-parole du",gouvernement,", Olivier Véran , se rendra dès mercredi dans une entreprise des Yvelines pour échanger avec les salariés . Ce"
15,une réforme des retraites . Laissée ensuite de côté par l' irruption de la crise Covid . Au sein du,gouvernement,", on espère toutefois que le pire n' est pas forcément à venir . « Le président a déjà pris"
16,"le système , a réaffirmé Emmanuel Macron lors du Conseil des ministres . Selon Olivier Véran , le porte-parole du",gouvernement,", qui a relayé ses propos , le président a appelé ses ministres à la « mobilisation » pour «"
17,"MoDem , qui plaide pour une augmentation des cotisations de l' employeur . « Je sais très bien que le",gouvernement,"n' est pas de cet avis , mais mon idée n' est pas de le gêner ni de le mettre"
18,"Le Point , Édouard Philippe a sobrement salué les arbitrages de l' exécutif . « Si la mesure que le",gouvernement,"propose a le même effet sur l' équilibre qu' un report à 65 ans , très bien » , a"
19,"au mois de mai sur le thème de la « fracture sociale » , Jacques Chirac active sans attendre son",gouvernement,. Le « plan Juppé » - du nom du premier ministre d' alors - est annoncé dès le 15
20,"dans l' Hémicycle . Les discussions sont électriques , la pression est palpable , mais la majorité dont dispose le",gouvernement,"résiste et le texte est adopté à l' été . Sept ans plus tard , Éric Woerth , ministre du"
21,Des opposants au projet du,gouvernement,affirment que la réforme serait une exigence de Bruxelles . Qu' en est -il en réalité ? « C' est
22,"Début janvier , la députée de La France insoumise ( LFI ) avait affirmé sur LCI que l' objectif du",gouvernement,n' était « pas de sauver le système des retraites mais de répondre aux 3 % de Bruxelles » .
23,. Emmanuel Macron déambule seul . Comme isolé . Loin du fracas de la réforme des retraites alors que son,gouvernement,"s' apprête à affronter , trois jours plus tard , la deuxième journée de manifestation . « Le président est"
