Index,Texte précédent,Mot,Texte suivant
1,« gilets jaunes » déclenché par une question de pouvoir d' achat ; les syndicats ont la hantise d' une,grève,"style contrôleurs SNCF avant Noël . C' est ce climat incertain dans le pays , maussade mais pas ostensiblement insurrectionnel"
2,raffineries agite la menace d' une mise à l' arrêt du pays . « Il y a un droit de,grève,", il y a un droit à manifester » , mais « c' est important aussi de ne pas pénaliser"
3,Si les soignants ont l' habitude de manifester avec un brassard « en,grève,"» tout en assurant leur poste , la contestation promet d' être forte à l' hôpital , où les syndicats"
4,"En 1995 , quand la",grève,"contre la réforme des retraites avait paralysé la France , internet était balbutiant . En 2019 , lorsque les syndicats"
5,"- , seuls 3 % des salariés télétravaillaient au moins un jour par semaine , selon l' Insee . Cette",grève,avait d' ailleurs incité de nombreuses entreprises à considérer le bon côté du travail à distance et à s' équiper
6,"encore plus nombreux quand c' est nécessaire ( 31 % en avril 2021 ) . En Île-de-France , où la",grève,"dans les transports en commun mène vite au chaos , 36 % des salariés télétravaillent , et même 56 %"
7,"directeur adjoint à l' OFCE ( Observatoire français des conjonctures économiques ) . Les commerçants parisiens savent , quand une",grève,"s' annonce , que leur chiffre d' affaires en souffrira , car les clients qui n' habitent pas tout près"
8,ce soit pour cause d' attente dans les transports ou pour cause de télétravail . Mais l' impact d' une,grève,"ne se juge pas seulement à l' aune de la croissance économique . Plus elle est dure , plus elle"
9,"massivement le même jour dans les grandes agglomérations , la circulation automobile s' améliore ! Si l' effet d' une",grève,"se mesure à la paralysie du pays , le blocage des raffineries , les coupures d' électricité ( ou simplement"
10,"en moins de temps ( ce qui est flagrant notamment dans la communication et les transports , hors jours de",grève,"s' entend ) . Paradoxalement , le progrès technique , qui permet d' exécuter plus rapidement un certain nombre de"
11,"qui peuvent paralyser le pays et gâcher la vie du commun des mortels ? Vue de l' extérieur , la",grève,"est souvent considérée comme une tradition française , et même comme un marqueur de l' identité nationale . Ce n'"
12,côté de l' électorat populaire ; en refusant de s' associer aux manifestations de rue ou aux appels à la,grève,", il contribue à son institutionnalisation . Il veut tout à la fois être un parti social et un parti"
13,Si certaines stations seront en,grève,"le 19 février , les mobilisations des 7 et 8 mars s' annoncent déjà suivies par les salariés des remontées"
14,"8 mars prochains s' annoncent déjà suivies , certaines stations prennent de l' avance et ont déposé des prévis de",grève,"avant la fin des vacances scolaires , le 5 mars . Dans les Pyrénées , les amateurs de sports d'"
15,"bloqués le 19 février en bas des pistes . Dameurs , pisteurs , perchistes et salariés des remontées mécaniques feront",grève,"à Luchon - Superbagnères , Le Pourtis et Bourg d' Oueil . « C' est le début des vacances pour"
16,"principaux syndicats des remontées mécaniques , la CGT et Force ouvrière ( FO ) ont déposé des « préavis de",grève,de manière illimitée » . Illimité ne signifie pas que ces installations sont mises à l' arrêt indéfiniment . «
17,"Concrètement , le 7 et le 8 mars , « il y aura , a minima , une heure de",grève,"en début de prise de service , mais chaque station fera comme elle veut et pourra allonger le temps de"
18,"à 64 ans , promettent de mobiliser leurs troupes dans la rue , voire de multiplier les appels à la",grève,. Du classique en ce qui concerne une réforme des retraites depuis des années en France . Au gouvernement on
19,"avec le gouvernement sur la pénibilité . La CGT de Bernard Thibault défile , mais n’ appelle pas à la",grève,"générale . Bilan Selon un rapport de la Cnav , la réforme n’ a pas atteint son objectif principal :"
