Index,Texte précédent,Mot,Texte suivant
1,"économies , archaïque , injuste , brutal , cruel ? Oui » , a rectifié l’ Insoumise . « La",guerre,"sociale est déclarée » , a également jugé le député LFI Louis Boyard . Sa collègue du même groupe ,"
2,"naturel , différence entre ces deux nombres , atteint « son plus bas niveau depuis la fin de la Seconde",Guerre,"mondiale ( +56.000 personnes ) » . Désormais , largement supérieur au solde naturel , le solde migratoire ( différence"
3,"du travail . Le nombre de retraités est exceptionnellement bas , en raison du trou démographique lié à la Seconde",Guerre,"mondiale , et le nombre de cotisants est exceptionnellement haut , en raison du baby - boom . Les conditions"
4,du présent : la tyrannie sanitaire a glissé vers la tyrannie sédentaire . Dans un monde dangereux où règnent la,guerre,", les épidémies , le terrorisme , les catastrophes naturelles , quitter le nid est un acte d' un héroïsme"
5,d' une gauche en pleine débâcle . Les Français ont connu récemment deux blessures narcissiques : le Covid et la,guerre,"en Ukraine . La première a prouvé les défaillances de notre système médical et le manque de médicaments essentiels ,"
6,"après-midi , ce jeudi , un cadre Insoumis confiait : « Suppressions en cours de traitement » . Une véritable",guerre,"des nerfs , jusqu' à la dernière minute ."
7,", s' est mis à plus ressembler à Victor Griffuelhes , le leader de la CGT d' avant la Première",Guerre,"mondiale , qu' à Benoît Frachon , militant communiste autant que dirigeant syndical . Et lorsque Jean-Luc Mélenchon ironise sur"
8,"il faudra bien négocier , quand bien même l' une des parties en présence est incarnée par un criminel de",guerre,"avéré , qu' il n' ait pas trouvé le moyen d' ouvrir plus tôt une négociation sérieuse avec les syndicats"
9,"ENSEIGNANTS , lycéens et étudiants repartent en",guerre,"contre la réforme des retraites . Du côté des professeurs , le Snuipp , premier syndicat du primaire , prévoit"
10,"faire respecter des décisions communes ? Après l’ échec de Valérie Pécresse à la présidentielle , on annonçait une nouvelle",guerre,entre Laurent Wauquiez et Xavier Bertrand . Leurs relais à l’ Assemblée se sont pourtant retrouvés du même côté pour
11,"américain , Macron est revenu sur les retraites afin « d' augmenter les dépenses militaires » dans un contexte de",guerre,en Ukraine . Il n' avait pas le choix . « Une arène de cirque » Le discours d' Élisabeth
12,"dernier essai des économistes Patrick Artus et Olivier Pastré ( 1 ) . Notant que , « déjà avant la",guerre,"en Ukraine , 60 % du revenu des 20 % des Français en bas de l' échelle des revenus était"
13,"se produire sous nos yeux ? Quand Emmanuel Macron propose sa réforme , quelques mois après sa réélection , la",guerre,"en Ukraine a déjà commencé depuis un semestre , l' inflation devient galopante , l' insécurité connaît une hausse très"
