Index,Texte précédent,Mot,Texte suivant
1,"contre l' audace ; mais qui en doutait ? Partant de ce double constat , il est certain que la",réforme,présentée par Élisabeth Borne sera contestée dans la rue ; il est probable qu' elle sera votée dans l' Hémicycle
2,réalité d' un danger financier . La conscience de la menace est la première condition de l' acceptabilité de la,réforme,". La chef du gouvernement n' a pas cherché non plus à minimiser ce que ce passage , progressif ,"
3,"jugée raide , Borne fait de sa détermination face à la difficulté sa signature . Voilà les opposants à la",réforme,"prévenus , et ses partisans rassurés . Il fallait cependant prouver que déterminé n' était pas synonyme de buté ,"
4,"Dans l' espoir , évidemment , de conjurer une contestation trop brutale et toute explosion qui aurait raison de la",réforme,"2023 , comme le Covid avait eu raison de la réforme 2019 . Mais c' est ici que commence l'"
5,"brutale et toute explosion qui aurait raison de la réforme 2023 , comme le Covid avait eu raison de la",réforme,2019 . Mais c' est ici que commence l' inconnu . Car si les forces syndicales et politiques savent gérer
6,"climat incertain dans le pays , maussade mais pas ostensiblement insurrectionnel , qui pèse sur tous les acteurs de la",réforme,des retraites . Il faut donner acte à Élisabeth Borne d' avoir concilié exigence de vérité et souci de valoriser
7,"ont été bichonnés . Mardi , Élisabeth Borne , qui les a cités deux fois pendant sa présentation de la",réforme,", a repris presque toutes leurs conditions . « Il y a des points positifs dans les annonces du gouvernement"
8,"demandé » , reconnaît le président de LR , Éric Ciotti , en évoquant le « rythme atténué de la",réforme,"» par rapport au projet initial , « la revalorisation des petites retraites et la prise en compte des congés"
9,"ces annonces , la coalition de la Nupes s’ est dite prête à mener « le combat » contre la",réforme,. Un tout premier meeting unitaire avait d’ ailleurs lieu mardi soir à Paris . « Madame Borne n’ a
10,"faire bénéficier de retraites , à nous , les moins de 35 ans . »«La première ministre prétend que sa",réforme,"des retraites est un projet de justice sociale . Mais elle va accélérer dangereusement les inégalités ! » , a"
11,"première ministre , Élisabeth Borne . « Pensez -vous sincèrement qu’ il est bon pour le pays de proposer une",réforme,"des retraites en vue de décaler l’ âge de départ , à laquelle 70 % des Français sont opposés ,"
12,", lui aussi , a rappelé sa volonté de voir le RN s’ illustrer comme le premier opposant à cette",réforme,". Le combat du parti à la flamme , pour autant , se concentrera au Palais Bourbon . Car pas"
13,CERTAINS syndicats et partis de gauche ont pu laisser croire aux Français que cette,réforme,"serait inutile . Elle est au contraire indispensable , à la fois par impératif économique et par nécessité démographique ."
14,". Elle est au contraire indispensable , à la fois par impératif économique et par nécessité démographique . « Sans",réforme,"c' est la faillite » , résume , lapidaire , Gabriel Attal , le ministre des Comptes publics . C'"
15,"pour eux . Un système par répartition doit donc , par définition , être financièrement à l' équilibre . Cette",réforme,est aussi une exigence sociale : la France est le pays d' Europe où les jeunes entrent le plus tard
16,le bord du chemin et représente aussi un gâchis de compétences . De nombreux économistes en conviennent . « La,réforme,"des retraites est essentielle » , affirmait Christian Saint-Étienne sur Sud Radio le 2 janvier , tandis qu' Élie Cohen"
17,"Saint-Étienne sur Sud Radio le 2 janvier , tandis qu' Élie Cohen le même jour sur BFMTV , jugeait la",réforme,« absolument indispensable » . Et d' expliquer que « le régime est structurellement en déficit . L' État verse
18,systématiquement sous dotées . L' État cotise pour les retraites des fonctionnaires à hauteur de 74 % . » La,réforme,des retraites est aussi un point important des recommandations récurrentes de la Commission européenne à la France . D' ailleurs
19,"point important des recommandations récurrentes de la Commission européenne à la France . D' ailleurs , les effets de la",réforme,à venir ont déjà été intégrés dans le pacte de stabilité transmis par la France à Bruxelles . Il en
20,pour revenir à l' objectif d' un déficit inférieur à 3 % du PIB d' ici 2027 . « Cette,réforme,"est un signal fort donné à nos partenaires européens » , confirme Raymond Soubie , ancien conseiller social de Nicolas"
