Word,Count
contre,59
audace,1
douter,2
double,3
constat,6
présenter,17
élisabeth,18
born,20
contester,4
rue,10
financier,11
conscience,2
menace,2
condition,7
acceptabilité,3
chef,18
gouvernement,33
chercher,1
non,8
minimiser,1
détermination,6
face,7
difficulté,2
signature,1
opposant,16
prévenir,5
partisan,1
rassurer,3
prouver,1
déterminé,1
contestation,11
trop,8
brutal,4
explosion,2
raison,18
covid,2
réforme,32
ici,4
commencer,14
inconnu,1
force,7
syndical,4
maussade,1
ostensiblement,1
insurrectionnel,1
peser,1
acteur,2
retraite,240
donner,6
acte,3
citer,1
fois,14
présentation,10
reprendre,2
presque,2
point,16
positif,2
éric,7
ciotti,5
évoquer,2
rythme,2
atténuer,1
rapport,6
projet,28
initial,3
revalorisation,2
petit,5
nupe,1
prêt,2
mener,13
combat,4
meeting,1
unitaire,1
ailleurs,8
lieu,3
mardi,6
»,2
«,1
la,1
ministre,30
prétendre,4
justice,5
social,27
accélérer,2
penser,7
sincèremer,1
bon,7
pays,14
proposer,7
vue,2
décaler,1
âge,20
départ,12
volonté,5
voir,15
rn,2
illustrer,2
opposer,13
parti,5
flamme,1
autant,11
concentrer,1
syndicat,14
gauche,13
croire,7
français,37
inutile,3
contraire,3
indispensable,9
impératif,3
économique,3
nécessité,9
démographique,4
faillite,1
résumer,2
lapidaire,1
gabriel,2
attal,1
système,29
répartition,8
définition,1
financièremer,1
équilibre,10
exigence,2
france,22
europe,5
représenter,2
gâchis,1
compétence,2
économiste,3
conviennent,2
essentiel,6
affirmer,8
christian,1
saint-étienn,1
élier,1
cohen,2
jour,14
bfmtv,4
juger,10
absolument,1
expliquer,13
régime,10
structurellement,1
état,25
cotis,1
fonctionnaire,4
hauteur,1
important,7
recommandation,2
récurrent,3
commission,7
européen,14
venir,9
intégrer,1
pacte,1
stabilité,1
transmettre,2
vis-à-vis,2
partenaire,4
capacité,5
engager,4
nécessaire,10
revenir,6
objectif,9
déficit,10
inférieur,3
pib,1
signal,1
fort,7
alixio,1
triangle,1
infernal,1
obligation,2
génération,3
baby,1
achat,2
retraité,8
baissé,1
continuer,6
diminuer,2
niveau,2
vie,7
rapporter,2
population,2
président,21
république,8
semer,1
trouble,1
indiquer,5
servir,4
financer,7
chantier,6
école,2
mère,3
bataille,10
lancer,5
promettre,6
emmanuel,34
macron,43
campagne,6
probablement,2
périlleux,2
passé,1
similaire,2
provoquer,3
mouvement,11
maire,2
prévoir,6
investir,1
politiquemer,1
porter,15
stanisla,1
guerini,1
fonction,5
public,16
opinion,12
écrasant,1
majorité,18
hostile,3
enquête,2
publier,3
dernier,16
mois,9
concertation,2
long,5
pénibilité,2
bruno,7
apporter,2
milliard,9
euro,8
caisse,3
plaider,2
référence,2
socialiste,3
marisol,1
touraine,8
sarkozyste,1
question,12
pension,5
actuel,8
prévoit,2
relèvement,3
marine,3
pen,4
barrage,1
injuste,6
confrontation,2
idée,4
désinformation,1
agiter,2
exécutif,16
imposer,7
récit,2
finalité,5
clair,4
distance,3
époque,2
dé,1
battre,2
ensuite,6
côté,8
irruption,1
crise,5
forcémer,2
prendre,7
perte,1
présidentiel,7
assurer,10
ligne,7
chorégraphie,1
bien,18
orchestrer,1
renouer,1
rôle,4
ordinaire,1
mouture,1
démultiplier,1
promotion,1
an,40
légal,5
concrètement,1
changer,2
consigne,1
éclair,1
antisocial,1
ratp,5
jean,3
castex,1
accompagner,3
secteur,4
mobilisation,27
agir,11
aujourd'hui,5
sauver,5
demain,1
améliorable,2
voix,5
entendre,9
mercredi,2
exprimer,8
françois,7
bayrou,1
lci,1
entrer,4
discussion,6
parlementaire,13
ardu,1
surveiller,1
position,4
retrait,2
apparent,1
manoeuvre,1
procéder,1
durée,6
cotisation,8
recul,3
baromètre,3
dree,1
montrer,3
mémoire,1
sujet,9
explosif,1
particulièrement,2
technique,2
profondément,2
jouent,1
temporalité,1
vite,1
arrive,1
mandat,8
mieux,4
passer,20
auprès,1
annoncer,9
novembre,5
proprement,1
comporte,2
volet,2
sécurité,3
parlement,8
discut,1
martèl,1
prôner,2
sage,2
négocier,2
progressif,2
témoigner,1
temps,15
édouard,5
philippe,2
actif,3
article,12
universel,2
heurter,4
