Word,Frequency
réforme,580
retraite,524
an,315
gouvernement,202
français,199
député,193
travail,187
ministre,182
social,161
texte,155
macron,153
politique,152
président,145
âge,143
contre,138
lr,137
bien,135
france,135
public,130
emmanuel,129
majorité,128
projet,126
national,125
jour,121
système,120
mobilisation,115
point,113
état,112
dernier,111
exécutif,109
assemblée,105
parlementaire,100
devoir,99
syndicat,98
passer,97
vote,96
départ,95
année,95
euro,90
mettre,89
voir,89
temps,89
voter,88
pays,88
chef,88
grève,88
droite,88
débat,88
grand,86
élisabeth,83
travailler,82
born,81
gauche,81
rue,80
prendre,80
compte,79
cotisation,79
groupe,78
loi,77
janvier,76
pension,74
question,73
vie,72
mouvement,71
sénat,71
heure,69
élu,69
mesure,68
autant,68
opposition,66
parti,64
non,64
venir,64
fort,64
long,63
légal,63
milliard,63
journée,63
fois,61
rien,58
européen,58
article,58
olivier,57
manifestation,57
fin,57
mois,56
jeudi,56
semaine,56
opinion,55
régime,55
retraité,55
durée,55
commencer,54
femme,54
permettre,53
mardi,53
carrière,53
ailleurs,53
jamais,53
cas,53
déficit,53
côté,53
trouver,53
républicain,52
conseil,52
nombre,51
expliquer,51
partir,51
françois,51
face,50
syndical,50
beaucoup,50
monde,50
crise,50
moyen,50
attendre,49
million,49
assurer,48
aller,48
droit,48
raison,47
petit,47
taux,47
laurent,46
niveau,45
insoumis,45
situation,45
report,44
rappeler,44
porter,44
cgt,44
savoir,43
jeune,43
entendre,43
financier,42
pari,42
adopter,42
début,42
prévoir,42
éric,41
rapport,41
voix,41
sénateur,41
donner,40
bon,40
actif,40
agir,40
salarié,40
cortège,40
force,39
génération,39
objectif,39
république,39
parlement,39
risque,39
plan,39
société,39
contestation,38
opposer,38
enfant,38
pourtant,38
partie,38
général,37
nupe,37
économique,37
entreprise,37
continuer,37
dépense,37
sein,37
mars,37
commission,36
ligne,36
prochain,36
chose,36
amendement,36
croire,35
juger,35
sujet,35
place,35
présidentiel,35
patron,35
loin,35
doute,34
important,34
financer,34
annoncer,34
fonction,34
répondre,34
mercredi,34
emploi,33
demander,33
revenir,33
bruno,33
renaissance,33
moment,33
soutenir,33
équilibre,32
condition,32
trop,32
actuel,32
sarkozy,32
blocage,32
retrouver,32
sentiment,32
hémicycle,31
privé,31
difficile,31
service,31
toutefois,31
secteur,31
mieux,31
février,31
bataille,30
soutien,30
lieu,30
répartition,30
chiffre,30
tard,30
idée,30
appeler,30
aujourd'hui,30
ensemble,30
activité,30
hausse,30
défendre,30
jouer,30
ville,30
populaire,30
